,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
149,Denmark Hill,51.47480000000007,-0.09312999999997373,Coal Rooms,51.470077504615254,-0.06929550600431446,Restaurant
150,Denmark Hill,51.47480000000007,-0.09312999999997373,Cable Bakery,51.48033961167374,-0.10811062256563128,Bakery
151,Denmark Hill,51.47480000000007,-0.09312999999997373,Kennington Park,51.483758135747216,-0.10849962883928813,Park
152,Denmark Hill,51.47480000000007,-0.09312999999997373,Peckham Springs,51.469696936385,-0.0701340835083436,Cocktail Bar
153,Denmark Hill,51.47480000000007,-0.09312999999997373,Mamma Dough,51.46267624890556,-0.10921022677054577,Pizza Place
154,Denmark Hill,51.47480000000007,-0.09312999999997373,Made of Dough,51.467012802061234,-0.07284879684448242,Pizza Place
155,Denmark Hill,51.47480000000007,-0.09312999999997373,Cafe Noir,51.473929,-0.089932,Café
156,Denmark Hill,51.47480000000007,-0.09312999999997373,Yadas,51.470575,-0.068536,Middle Eastern Restaurant
157,Denmark Hill,51.47480000000007,-0.09312999999997373,Brixton Village,51.46251157647608,-0.11178319109611673,Market
158,Denmark Hill,51.47480000000007,-0.09312999999997373,Rye Wax,51.46986238809608,-0.06761312484741211,Record Shop
159,Denmark Hill,51.47480000000007,-0.09312999999997373,Pop Brixton,51.463393429445084,-0.11236788643361767,Food Court
160,Denmark Hill,51.47480000000007,-0.09312999999997373,Miss Tapas,51.46796262816455,-0.06908297538757324,Tapas Restaurant
161,Denmark Hill,51.47480000000007,-0.09312999999997373,La Luna,51.48465150444145,-0.09383054151453664,Italian Restaurant
162,Denmark Hill,51.47480000000007,-0.09312999999997373,Honest Burgers,51.46965875633318,-0.06930011043334616,Burger Joint
163,Denmark Hill,51.47480000000007,-0.09312999999997373,Oval Farmers' Market,51.48134337949233,-0.11221925213337314,Farmers Market
164,Denmark Hill,51.47480000000007,-0.09312999999997373,Old Red Lion,51.489460705478095,-0.10495148372566897,Pub
165,Denmark Hill,51.47480000000007,-0.09312999999997373,Okan,51.462509823947784,-0.11179504195325424,Okonomiyaki Restaurant
166,Denmark Hill,51.47480000000007,-0.09312999999997373,Senzala Creperie,51.462409847517996,-0.11171213037134822,Creperie
167,Denmark Hill,51.47480000000007,-0.09312999999997373,General Store,51.46713861287385,-0.07256106306963521,Grocery Store
168,Denmark Hill,51.47480000000007,-0.09312999999997373,Longdan Express,51.49138673642402,-0.09771888630493422,Convenience Store
169,Denmark Hill,51.47480000000007,-0.09312999999997373,Caya,51.462806784636705,-0.10873889061948705,Coffee Shop
170,Denmark Hill,51.47480000000007,-0.09312999999997373,Ghost Whale,51.46095942575821,-0.11117470941616318,Beer Store
171,Denmark Hill,51.47480000000007,-0.09312999999997373,Sugar Pot,51.483788,-0.110945,Coffee Shop
172,Denmark Hill,51.47480000000007,-0.09312999999997373,Orbit Brewery,51.485174464756874,-0.09601271320013703,Brewery
173,Denmark Hill,51.47480000000007,-0.09312999999997373,Baba G's,51.46347481755735,-0.11235810045205079,Indian Restaurant
174,Denmark Hill,51.47480000000007,-0.09312999999997373,"Fish, Wings & Tings",51.462087367289755,-0.11152854737610098,Caribbean Restaurant
175,Denmark Hill,51.47480000000007,-0.09312999999997373,Fierce Grace Brixton,51.46225239598031,-0.11092018451294972,Yoga Studio
176,Denmark Hill,51.47480000000007,-0.09312999999997373,Brixton Market,51.46241218024057,-0.1136260118783734,Market
177,Denmark Hill,51.47480000000007,-0.09312999999997373,Di Lieto,51.478401659990475,-0.1123764821531861,Café
178,Denmark Hill,51.47480000000007,-0.09312999999997373,Golden Grill,51.47411797219679,-0.09289607516702363,Kebab Restaurant
179,Denmark Hill,51.47480000000007,-0.09312999999997373,The Shrub and Shutter,51.46284119773519,-0.10845787521790404,Cocktail Bar
180,Denmark Hill,51.47480000000007,-0.09312999999997373,Codfellas,51.467750424914485,-0.07233381271362305,Fish & Chips Shop
181,Denmark Hill,51.47480000000007,-0.09312999999997373,Three Eight Four,51.461845109286564,-0.11217110773441334,Cocktail Bar
182,Denmark Hill,51.47480000000007,-0.09312999999997373,Koi Ramen Noodle Bar,51.46347857800001,-0.11235904547194676,Ramen Restaurant
183,Denmark Hill,51.47480000000007,-0.09312999999997373,Malinka,51.47902681770693,-0.1119208256912175,Deli / Bodega
184,Denmark Hill,51.47480000000007,-0.09312999999997373,Cafe Van Gogh,51.477608,-0.11257935,Café
185,Denmark Hill,51.47480000000007,-0.09312999999997373,TRAID,51.472628,-0.069763,Thrift / Vintage Store
186,Denmark Hill,51.47480000000007,-0.09312999999997373,Husky Studio,51.48965434355571,-0.09852948760283486,Dance Studio
187,Denmark Hill,51.47480000000007,-0.09312999999997373,Brixton Brewery,51.46362129560617,-0.10930867890594644,Brewery
188,Denmark Hill,51.47480000000007,-0.09312999999997373,Camberwell Leisure Centre,51.47436274610355,-0.0903698521525315,Gym / Fitness Center
189,Denmark Hill,51.47480000000007,-0.09312999999997373,Frank's Café & Campari Bar,51.470974277001,-0.06694481109739417,Bar
190,Denmark Hill,51.47480000000007,-0.09312999999997373,Bar Story,51.46963981172262,-0.06990015163094485,Cocktail Bar
191,Denmark Hill,51.47480000000007,-0.09312999999997373,Honest Burgers,51.46227821920269,-0.11206904342293456,Burger Joint
192,Denmark Hill,51.47480000000007,-0.09312999999997373,Forza Win,51.469865,-0.065682,Italian Restaurant
193,Denmark Hill,51.47480000000007,-0.09312999999997373,The Four Quarters,51.468006411493505,-0.06710046794281133,Gaming Cafe
194,Denmark Hill,51.47480000000007,-0.09312999999997373,The Oval,51.4837364238246,-0.114956796169281,Cricket Ground
195,Denmark Hill,51.47480000000007,-0.09312999999997373,Lidl,51.4726499779385,-0.0711521745224728,Supermarket
196,Denmark Hill,51.47480000000007,-0.09312999999997373,The Craft Beer Co.,51.46338517478203,-0.1140363522577955,Beer Bar
197,Denmark Hill,51.47480000000007,-0.09312999999997373,Van Gogh Walk,51.47575794841629,-0.1141329196120433,Plaza
198,Denmark Hill,51.47480000000007,-0.09312999999997373,The Joint,51.462316410115676,-0.11165321388594093,BBQ Joint
199,Denmark Hill,51.47480000000007,-0.09312999999997373,The Manor Of Walworth,51.491163,-0.097721,Pub
200,Deptford,51.48114000000004,-0.02466999999995778,The Waiting Room,51.478935,-0.025940984,Coffee Shop
201,Deptford,51.48114000000004,-0.02466999999995778,Deli X,51.479426799034705,-0.02611247661401857,Deli / Bodega
202,Deptford,51.48114000000004,-0.02466999999995778,Marcella,51.479605,-0.026249,Italian Restaurant
203,Deptford,51.48114000000004,-0.02466999999995778,The Dog & Bell,51.483382323277205,-0.025795771476234006,Pub
204,Deptford,51.48114000000004,-0.02466999999995778,Buster Mantis,51.478747729566436,-0.02582012839270399,Bar
205,Deptford,51.48114000000004,-0.02466999999995778,Arapina Cafe,51.480667,-0.019509718,Café
206,Deptford,51.48114000000004,-0.02466999999995778,Lomond Coffee,51.478349355447506,-0.027025938034057617,Coffee Shop
207,Deptford,51.48114000000004,-0.02466999999995778,Little Nan's Bar,51.47871006556066,-0.02664217416943338,Cocktail Bar
208,Deptford,51.48114000000004,-0.02466999999995778,London Velo,51.47541267198628,-0.02600495254972024,Coffee Shop
209,Deptford,51.48114000000004,-0.02466999999995778,The Royal Albert,51.47524591834529,-0.028764076137044122,Pub
210,Deptford,51.48114000000004,-0.02466999999995778,Deptford Greenhouse Cafe,51.47531326162862,-0.028150998264635928,Café
211,Deptford,51.48114000000004,-0.02466999999995778,Mouse Tail Coffee Stories,51.478694660424985,-0.02661676637355488,Coffee Shop
